TID	CHEMBL_ID	TargetName	Organism
109733	CHEMBL3559678	Genome polyprotein	Dengue virus 2
109456	CHEMBL3317335	Sodium-dependent proline transporter	Homo sapiens
14	CHEMBL1910	Adenosine deaminase	Homo sapiens
100467	CHEMBL4360	Monocarboxylate transporter 1	Homo sapiens
12620	CHEMBL2627	Dihydrofolate reductase type 1	Escherichia coli
11184	CHEMBL3068	Neuronal acetylcholine receptor subunit alpha-3	Homo sapiens
101494	CHEMBL5666	Disks large homolog 4	Homo sapiens
12485	CHEMBL317	Muscarinic acetylcholine receptor M4	Rattus norvegicus
102845	CHEMBL1075294	Indoleamine 2,3-dioxygenase 1	Mus musculus
101287	CHEMBL5689	Tryptophan 5-hydroxylase 1	Homo sapiens
103925	CHEMBL1687677	Pancreatic triacylglycerol lipase	Sus scrofa
106616	CHEMBL2366472	15-cis-phytoene desaturase	Synechococcus elongatus (strain PCC 7942) (Anacystis nidulans R2)
101477	CHEMBL5620	Proteasome subunit beta type-8	Homo sapiens
105649	CHEMBL2331053	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	Homo sapiens
18035	CHEMBL3640	3-oxoacyl-[acyl-carrier-protein] synthase III	Mycobacterium tuberculosis
100158	CHEMBL4458	Alkaline phosphatase placental type	Homo sapiens
104119	CHEMBL1764942	Substance-P receptor	Meriones unguiculatus
103469	CHEMBL1169599	Metastin receptor	Rattus norvegicus
10459	CHEMBL3565	Dihydrofolate reductase	Neisseria gonorrhoeae
109958	CHEMBL3638353	EF-hand calcium-binding domain-containing protein 4B	Homo sapiens
104066	CHEMBL1743125	Solute carrier family 15 member 2	Homo sapiens
10677	CHEMBL4613	Bradykinin B1 receptor	Rattus norvegicus
109450	CHEMBL3313836	Toxin ParE	Escherichia coli
101591	CHEMBL5868	Nuclear receptor ROR-alpha	Homo sapiens
104016	CHEMBL1741220	Bromodomain adjacent to zinc finger domain protein 2B	Homo sapiens
105619	CHEMBL2321630	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	Homo sapiens
101334	CHEMBL5786	Leukotriene A-4 hydrolase	Cavia porcellus
11453	CHEMBL4185	Xaa-Pro dipeptidase	Homo sapiens
10089	CHEMBL4647	Peptide deformylase mitochondrial	Homo sapiens
102688	CHEMBL5845	Glycine receptor subunit alpha-1	Homo sapiens
10992	CHEMBL4305	Intermediate conductance calcium-activated potassium channel protein 4	Homo sapiens
20145	CHEMBL3482	Beta-galactosidase	Bos taurus
11235	CHEMBL2878	Histone deacetylase 6	Mus musculus
11165	CHEMBL4931	3-beta-hydroxysteroid-delta(8),delta(7)-isomerase	Homo sapiens
100211	CHEMBL4840	Beta-lactamase type II	Bacteroides fragilis
11597	CHEMBL3195	Glycine transporter 2	Rattus norvegicus
11114	CHEMBL2009	Glutamate receptor ionotropic, AMPA 1	Homo sapiens
103104	CHEMBL1075165	Phosphatidylinositol 3-kinase catalytic subunit type 3	Homo sapiens
10187	CHEMBL4884	Caspase-2	Homo sapiens
104422	CHEMBL1938211	Lysine-specific demethylase 6B	Homo sapiens
18006	CHEMBL4263	Acetolactate synthase	Arabidopsis thaliana
101293	CHEMBL5695	Intestinal alkaline phosphatase	Bos taurus
100781	CHEMBL5174	Neuropilin-1	Homo sapiens
12744	CHEMBL327	Alpha-2a adrenergic receptor	Rattus norvegicus
102815	CHEMBL1075269	Adenosine A3 receptor	Mus musculus
11607	CHEMBL3203	4-hydroxyphenylpyruvate dioxygenase	Sus scrofa
109940	CHEMBL3638335	Serine/threonine-protein kinase pim-3	Rattus norvegicus
100797	CHEMBL3783	Fatty acid synthase	Rattus norvegicus
13019	CHEMBL4888	Dihydrofolate reductase	Salmonella enterica subsp. enterica serovar Typhi
100804	CHEMBL3326	Beta-lactamase L1	Stenotrophomonas maltophilia
10711	CHEMBL4079	G-protein coupled receptor kinase 2	Homo sapiens
20104	CHEMBL4086	Prostanoid EP4 receptor	Rattus norvegicus
12854	CHEMBL2592	Adenosine A2b receptor	Rattus norvegicus
11726	CHEMBL3439	Aminopeptidase A	Homo sapiens
19683	CHEMBL5129	Phosphodiesterase 3B	Bos taurus
102832	CHEMBL1075282	Dual specificity protein kinase CLK3	Mus musculus
11356	CHEMBL2140	Tryptophan 2,3-dioxygenase	Homo sapiens
107588	CHEMBL2380186	Transcriptional activator Myb	Gallus gallus
105221	CHEMBL2163181	DNA ligase	Staphylococcus aureus
11229	CHEMBL4241	Squalene monooxygenase	Rattus norvegicus
10732	CHEMBL2518	AICAR transformylase	Homo sapiens
100312	CHEMBL4386	Vacuolar-type proton translocating pyrophosphatase 1	Trypanosoma brucei
109543	CHEMBL3351219	Deoxyribonuclease-1	Homo sapiens
11943	CHEMBL3964	Phospholipase C-gamma-1	Homo sapiens
100427	CHEMBL4909	Prostanoid EP2 receptor	Rattus norvegicus
12737	CHEMBL2864	6-O-methylguanine-DNA methyltransferase	Homo sapiens
11138	CHEMBL3414	Human herpesvirus 5 DNA polymerase	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)
11811	CHEMBL3872	C-C chemokine receptor type 1	Mus musculus
101368	CHEMBL5891	Protein arginine N-methyltransferase 3	Homo sapiens
100474	CHEMBL4521	Cytochrome P450 24A1	Homo sapiens
109942	CHEMBL3638337	Kininogen-1	Homo sapiens
10222	CHEMBL3782	Xaa-Pro aminopeptidase 1	Homo sapiens
101196	CHEMBL5440	Dehydrosqualene synthase	Staphylococcus aureus
20111	CHEMBL4088	Topoisomerase IV subunit A	Staphylococcus aureus
100117	CHEMBL5530	Voltage-gated potassium channel subunit Kv7.2	Rattus norvegicus
12593	CHEMBL4270	Matrix metalloproteinase 10	Homo sapiens
12413	CHEMBL3516	Vascular endothelial growth factor receptor 1	Mus musculus
101589	CHEMBL5866	Catenin beta-1	Homo sapiens
10464	CHEMBL3840	Ribonucleoside-diphosphate reductase large chain	Herpes simplex virus (type 1 / strain 17)
17063	CHEMBL3027	Neurotensin receptor 1	Rattus norvegicus
12853	CHEMBL3637	Alpha-1a adrenergic receptor	Oryctolagus cuniculus
109720	CHEMBL3559643	Neuraminidase	Influenza A virus (strain A/USSR/90/1977 H1N1)
17087	CHEMBL5211	Arachidonate 5-lipoxygenase	Mus musculus
11476	CHEMBL3363	Protein-glutamine glutamyltransferase E	Homo sapiens
10031	CHEMBL3373	Beta-2 adrenergic receptor	Bos taurus
11168	CHEMBL4959	Gastrin releasing peptide receptor	Homo sapiens
12017	CHEMBL3309	Neuropeptide Y receptor type 2	Rattus norvegicus
101322	CHEMBL5774	Monoglyceride lipase	Mus musculus
12406	CHEMBL3676	C-C chemokine receptor type 5	Mus musculus
12169	CHEMBL2548	Neuropeptide Y receptor type 5	Rattus norvegicus
12387	CHEMBL3965	Leucine aminopeptidase	Homo sapiens
11308	CHEMBL2246	Aldehyde reductase	Homo sapiens
104560	CHEMBL2046259	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	Homo sapiens
20157	CHEMBL4730	Melanin-concentrating hormone receptor 1	Mus musculus
109949	CHEMBL3638344	Genome polyprotein	Hepatitis C virus genotype 1a (isolate H) (HCV)
17028	CHEMBL3335	Cytochrome P450 2B1	Rattus norvegicus
101107	CHEMBL5189	Sialidase	Clostridium perfringens
187	CHEMBL1783	Vascular endothelial growth factor A	Homo sapiens
100823	CHEMBL3541	Histone deacetylase HD1B	Zea mays
11044	CHEMBL2200	Matrix metalloproteinase 16	Homo sapiens
10528	CHEMBL3041	Mu opioid receptor	Bos taurus
10058	CHEMBL3719	Melanocortin receptor 4	Mus musculus
10483	CHEMBL4632	Palmitoyl-CoA oxidase	Rattus norvegicus
100145	CHEMBL4736	DNA excision repair protein ERCC-5	Homo sapiens
103691	CHEMBL1293258	Mothers against decapentaplegic homolog 3	Homo sapiens
104421	CHEMBL1938210	Lysine-specific demethylase 2A	Homo sapiens
11531	CHEMBL3251	Nuclear factor NF-kappa-B p105 subunit	Homo sapiens
103091	CHEMBL1075152	Glucokinase regulatory protein	Homo sapiens
11230	CHEMBL3592	Squalene monooxygenase	Homo sapiens
17019	CHEMBL2860	Cyclooxygenase-1	Bos taurus
104138	CHEMBL1770046	P2Y purinoceptor 14	Mus musculus
102423	CHEMBL6044	Bcl-2-related protein A1	Homo sapiens
11784	CHEMBL3608	Epidermal growth factor receptor erbB1	Mus musculus
11949	CHEMBL2818	P2X purinoceptor 4	Rattus norvegicus
10364	CHEMBL266	Alpha-2b adrenergic receptor	Rattus norvegicus
105492	CHEMBL2189162	Pyruvate kinase	Staphylococcus aureus (strain MRSA252)
103537	CHEMBL1255126	Protein Mdm4	Homo sapiens
100008	CHEMBL4640	Phosphodiesterase 8A	Homo sapiens
18040	CHEMBL5031	Beta-lactamase	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)
10486	CHEMBL2514	Neurotensin receptor 2	Homo sapiens
11839	CHEMBL4304	Calcium-activated potassium channel subunit alpha-1	Homo sapiens
102734	CHEMBL5952	Neuropeptide FF receptor 2	Homo sapiens
11176	CHEMBL4619	Phosphodiesterase 1C	Homo sapiens
101283	CHEMBL5685	Solute carrier family 22 member 1	Homo sapiens
100007	CHEMBL5526	UDP-N-acetylmuramate dehydrogenase	Escherichia coli K-12
11414	CHEMBL3918	Receptor-type tyrosine-protein phosphatase alpha	Homo sapiens
105434	CHEMBL2176859	Enoyl-[acyl-carrier-protein] reductase [NADPH]	Staphylococcus aureus
10190	CHEMBL4894	Galanin receptor 1	Homo sapiens
10533	CHEMBL2528	Butyrylcholinesterase	Mus musculus
102719	CHEMBL5917	Malate dehydrogenase, mitochondrial	Homo sapiens
104103	CHEMBL1744522	Endothelial PAS domain-containing protein 1	Homo sapiens
101305	CHEMBL5724	Arylamine N-acetyltransferase 2	Mus musculus
100596	CHEMBL3693	Farnesyl pyrophosphate synthase	Leishmania donovani
13056	CHEMBL4428	Prostaglandin I2 synthase	Homo sapiens
11997	CHEMBL2748	Sucrase-isomaltase	Homo sapiens
11848	CHEMBL3736	Angiotensin-converting enzyme 2	Homo sapiens
102878	CHEMBL6069	Pantothenate synthetase	Mycobacterium tuberculosis
100005	CHEMBL5453	Serotonin transporter	Macaca mulatta
12654	CHEMBL2372	Catechol O-methyltransferase	Rattus norvegicus
10505	CHEMBL2088	Carboxypeptidase A1	Homo sapiens
100476	CHEMBL4677	Apoptosis regulator Bcl-W	Homo sapiens
106552	CHEMBL2366408	Nicotinic acetylcholine receptor alpha 5 subunit	Musca domestica
102808	CHEMBL6197	Transporter	Macaca mulatta
11298	CHEMBL4654	Histamine H2 receptor	Rattus norvegicus
19624	CHEMBL4117	Zinc aminopeptidase	Plasmodium falciparum FcB1/Columbia
12965	CHEMBL4503	Nociceptin receptor	Rattus norvegicus
101044	CHEMBL5043	Endoplasmic reticulum aminopeptidase 2	Homo sapiens
101271	CHEMBL5652	Glucose-dependent insulinotropic receptor	Homo sapiens
10101	CHEMBL2120	Acidic fibroblast growth factor	Homo sapiens
10583	CHEMBL4425	Phosphodiesterase 1B	Homo sapiens
105564	CHEMBL2304401	Cytosolic phospholipase A2	Bos taurus
73	CHEMBL1973	Tyrosinase	Homo sapiens
10373	CHEMBL2099	Prostate specific antigen	Homo sapiens
11920	CHEMBL4035	Prolyl endopeptidase	Rattus norvegicus
11054	CHEMBL2736	Metabotropic glutamate receptor 4	Homo sapiens
103165	CHEMBL1075317	WD repeat-containing protein 5	Homo sapiens
100342	CHEMBL4228	GABA transporter 2	Mus musculus
11441	CHEMBL2706	Receptor-type tyrosine-protein phosphatase beta	Homo sapiens
101352	CHEMBL5848	Oligo-1,6-glucosidase	Saccharomyces cerevisiae S288c
101176	CHEMBL5401	Signal transducer and activator of transcription 6	Homo sapiens
102728	CHEMBL5921	Bifunctional protein NCOAT	Homo sapiens
103730	CHEMBL1293297	Bifunctional protein glmU	Mycobacterium tuberculosis
104004	CHEMBL1741208	NACHT, LRR and PYD domains-containing protein 3	Homo sapiens
10670	CHEMBL1882	Neuronal acetylcholine receptor protein alpha-4 subunit	Homo sapiens
10201	CHEMBL4941	S-methyl-5-thioadenosine phosphorylase	Homo sapiens
104260	CHEMBL1795180	Free fatty acid receptor 1	Rattus norvegicus
10402	CHEMBL2501	Bradykinin B2 receptor	Rattus norvegicus
101219	CHEMBL5517	Secreted frizzled-related protein 1	Homo sapiens
11583	CHEMBL4702	Dopamine beta-hydroxylase	Bos taurus
10100	CHEMBL2940	Immunoglobulin epsilon Fc receptor	Homo sapiens
10466	CHEMBL2798	Cholecystokinin A receptor	Mus musculus
102733	CHEMBL5951	Neuropeptide FF receptor 1	Homo sapiens
10697	CHEMBL3253	Serum albumin	Homo sapiens
108264	CHEMBL3227915	Indolethylamine N-methyltransferase	Oryctolagus cuniculus
108296	CHEMBL3243909	Glandular kallikrein	Sus scrofa
11863	CHEMBL3737	Serotonin 1a (5-HT1a) receptor	Mus musculus
12661	CHEMBL3660	Vitronectin receptor alpha	Homo sapiens
20110	CHEMBL4092	c-Jun N-terminal kinase 3	Rattus norvegicus
104150	CHEMBL1781858	Casein kinase I isoform alpha	Sus scrofa
104581	CHEMBL2052039	Long-chain fatty acid transport protein 1	Mus musculus
102747	CHEMBL6113	Phosphoethanolamine/phosphocholine phosphatase	Homo sapiens
101487	CHEMBL5630	1-deoxy-D-xylulose 5-phosphate reductoisomerase	Mycobacterium tuberculosis
104272	CHEMBL1795192	Cyclin-dependent kinase 13	Homo sapiens
102774	CHEMBL6150	Serine/threonine-protein kinase 32A	Homo sapiens
104313	CHEMBL1908382	Serine/threonine-protein kinase PRP4 homolog	Homo sapiens
104315	CHEMBL1908384	SNF-related serine/threonine-protein kinase	Homo sapiens
12959	CHEMBL4627	Myosin light chain kinase	Homo sapiens
104317	CHEMBL1908386	Dual serine/threonine and tyrosine protein kinase	Homo sapiens
104319	CHEMBL1908388	Cell division control protein 2 homolog	Plasmodium falciparum (isolate 3D7)
103789	CHEMBL1628470	Transient receptor potential cation channel subfamily M member 6	Homo sapiens
103458	CHEMBL1163129	Serine/threonine-protein kinase SBK1	Homo sapiens
104312	CHEMBL1908381	Peripheral plasma membrane protein CASK	Homo sapiens
10814	CHEMBL3724	Lysophosphatidic acid receptor Edg-4	Homo sapiens
12793	CHEMBL4402	Retinoid X receptor gamma	Mus musculus
103453	CHEMBL1163124	Mitogen-activated protein kinase kinase kinase 13	Homo sapiens
20057	CHEMBL3344	Fatty acid binding protein muscle	Homo sapiens
103435	CHEMBL1163106	Serine/threonine-protein kinase MAK	Homo sapiens
103588	CHEMBL1275223	Heat shock cognate 71 kDa protein	Homo sapiens
10015	CHEMBL4330	Cysteinyl leukotriene receptor 2	Homo sapiens
103061	CHEMBL1075132	Heat shock protein 75 kDa, mitochondrial	Homo sapiens
103437	CHEMBL1163108	STE20/SPS1-related proline-alanine-rich protein kinase	Homo sapiens
105135	CHEMBL2146307	ADP-ribosylation factor GTPase-activating protein 1	Rattus norvegicus
101360	CHEMBL5856	Serine/threonine-protein kinase PFTAIRE-2	Homo sapiens
103457	CHEMBL1163128	Microtubule-associated serine/threonine-protein kinase 1	Homo sapiens
12577	CHEMBL2309	Voltage-gated potassium channel subunit Kv1.1	Homo sapiens
104245	CHEMBL1795165	Hormonally up-regulated neu tumor-associated kinase	Homo sapiens
103140	CHEMBL1075195	Serine/threonine-protein kinase TAO2	Homo sapiens
101270	CHEMBL5651	Serine/threonine-protein kinase 35	Homo sapiens
10010	CHEMBL2135	P2X purinoceptor 2	Rattus norvegicus
17025	CHEMBL3333	Phosphodiesterase 4A	Sus scrofa
103095	CHEMBL1075155	Serine/threonine-protein kinase 38	Homo sapiens
103433	CHEMBL1163104	Serine/threonine-protein kinase OSR1	Homo sapiens
101069	CHEMBL5095	Wee1-like protein kinase 2	Homo sapiens
103456	CHEMBL1163127	Mitogen-activated protein kinase kinase kinase 15	Homo sapiens
101073	CHEMBL5116	Putative uncharacterized serine/threonine-protein kinase SgK110	Homo sapiens
12100	CHEMBL3367	Methionyl-tRNA synthetase	Escherichia coli K-12
101163	CHEMBL5351	Transcriptional activator protein luxR	Aliivibrio fischeri
102473	CHEMBL5638	Serine/threonine-protein kinase Nek11	Homo sapiens
103855	CHEMBL1649059	Serine/threonine-protein kinase VRK2	Homo sapiens
103446	CHEMBL1163117	Cyclin-dependent kinase-like 3	Homo sapiens
101309	CHEMBL5728	Cyclin-dependent kinase-like 2	Homo sapiens
101552	CHEMBL5789	Cyclin-dependent kinase-like 1	Homo sapiens
101103	CHEMBL5185	Glutamate racemase	Helicobacter pylori J99
101048	CHEMBL5047	Serine/threonine-protein kinase ULK3	Homo sapiens
103455	CHEMBL1163126	Serine/threonine-protein kinase ICK	Homo sapiens
101584	CHEMBL5861	G protein-coupled receptor kinase 4	Homo sapiens
101434	CHEMBL6083	Receptor-interacting serine/threonine-protein kinase 4	Homo sapiens
17086	CHEMBL2605	Adenosine A2a receptor	Cavia porcellus
104580	CHEMBL2052038	Long-chain fatty acid transport protein 1	Homo sapiens
102421	CHEMBL5679	Serine/threonine-protein kinase Nek3	Homo sapiens
103452	CHEMBL1163123	Mitogen-activated protein kinase kinase kinase 6	Homo sapiens
102770	CHEMBL6149	Serine/threonine-protein kinase SIK3	Homo sapiens
19702	CHEMBL4592	Amine oxidase, copper containing	Rattus norvegicus
12831	CHEMBL3056	Androgen Receptor	Mus musculus
103062	CHEMBL1075133	G protein-coupled receptor kinase 7	Homo sapiens
103441	CHEMBL1163112	Cyclin-dependent kinase-like 5	Homo sapiens
12078	CHEMBL2753	GABA-B receptor 1	Rattus norvegicus
102676	CHEMBL5836	Ephrin type-B receptor 6	Homo sapiens
10356	CHEMBL3994	Enoyl-[acyl-carrier-protein] reductase	Staphylococcus aureus subsp. aureus MRSA252
100944	CHEMBL5293	Calcitonin gene-related peptide 1	Homo sapiens
101033	CHEMBL5607	Rhodopsin kinase	Homo sapiens
100975	CHEMBL5415	Serine/threonine-protein kinase SRPK3	Homo sapiens
101399	CHEMBL5970	Mitogen-activated protein kinase kinase kinase 3	Homo sapiens
102465	CHEMBL6186	Serine/threonine-protein kinase Sgk3	Homo sapiens
101405	CHEMBL6000	Serine/threonine-protein kinase RIO2	Homo sapiens
103900	CHEMBL1671613	Type-1 angiotensin II receptor	Cavia porcellus
101301	CHEMBL5720	P2Y purinoceptor 1	Meleagris gallopavo
106625	CHEMBL2366481	Photosystem Q(B) protein	Spinacia oleracea
10278	CHEMBL2424	Glyoxalase I	Homo sapiens
11676	CHEMBL3047	Hypoxia-inducible factor prolyl 4-hydroxylase	Homo sapiens
103659	CHEMBL1293226	Lysine-specific demethylase 4D-like	Homo sapiens
104126	CHEMBL1770034	Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma	Homo sapiens
104499	CHEMBL2010631	C-X-C chemokine receptor type 7	Homo sapiens
11845	CHEMBL3457	Kynurenine 3-monooxygenase	Rattus norvegicus
12900	CHEMBL3744	Glutamate receptor ionotropic kainate 3	Rattus norvegicus
11538	CHEMBL2721	Excitatory amino acid transporter 3	Homo sapiens
102711	CHEMBL5914	Mitogen-activated protein kinase kinase kinase 2	Homo sapiens
12640	CHEMBL4973	Excitatory amino acid transporter 2	Homo sapiens
100860	CHEMBL5412	C-C chemokine receptor type 2	Mus musculus
102799	CHEMBL6191	SPS1/STE20-related protein kinase YSK4	Homo sapiens
101418	CHEMBL6013	Ceramide glucosyltransferase	Mus musculus
11729	CHEMBL3107	Basic fibroblast growth factor	Homo sapiens
53	CHEMBL1858	DNA gyrase subunit A	Escherichia coli K-12
103715	CHEMBL1293282	Protein Rev	Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1)
104247	CHEMBL1795167	Toll-like receptor 4	Mus musculus
100853	CHEMBL4577	Homeodomain-interacting protein kinase 3	Homo sapiens
103735	CHEMBL1293302	Female germline-specific tumor suppressor gld-1	Caenorhabditis elegans
11589	CHEMBL4047	Retinoid X receptor beta	Mus musculus
11447	CHEMBL2275	Sorbitol dehydrogenase	Homo sapiens
104207	CHEMBL1795127	Thymidine kinase	Human herpesvirus 1
20012	CHEMBL3927	SARS coronavirus 3C-like proteinase	SARS coronavirus
107657	CHEMBL2424508	PHD finger protein 23	Homo sapiens
74	CHEMBL1962	GABA receptor alpha-1 subunit	Homo sapiens
10948	CHEMBL2125	Vesicular acetylcholine transporter	Rattus norvegicus
11940	CHEMBL3667	PI4-kinase alpha subunit	Homo sapiens
101373	CHEMBL5896	Lysine-specific demethylase 4A	Homo sapiens
102401	CHEMBL6056	Renin	Callithrix jacchus
12877	CHEMBL2283	Carbonic anhydrase II	Bos taurus
12083	CHEMBL3262	Lanosterol synthase	Rattus norvegicus
101222	CHEMBL5520	Casein kinase I isoform alpha-like	Homo sapiens
107658	CHEMBL2424509	Tumor suppressor p53-binding protein 1	Homo sapiens
11567	CHEMBL2225	Cathepsin H	Homo sapiens
101273	CHEMBL5654	Myosin-IIIB	Homo sapiens
11722	CHEMBL3092	Cathepsin E	Homo sapiens
101404	CHEMBL5975	Serine/threonine-protein kinase RIO1	Homo sapiens
101496	CHEMBL5668	Serine/threonine-protein kinase SRPK2	Homo sapiens
101278	CHEMBL5659	Serine/threonine-protein kinase RIO3	Homo sapiens
11361	CHEMBL4004	Phosphorylase kinase gamma subunit 1	Homo sapiens
100969	CHEMBL5388	Serine/threonine-protein kinase tousled-like 1	Homo sapiens
101016	CHEMBL5545	Sn1-specific diacylglycerol lipase alpha	Homo sapiens
101225	CHEMBL5546	Myosin IIIA	Homo sapiens
101041	CHEMBL5615	Serine/threonine-protein kinase MRCK gamma	Homo sapiens
11751	CHEMBL4050	FK506 binding protein 4	Homo sapiens
123	CHEMBL1861	4-hydroxyphenylpyruvate dioxygenase	Homo sapiens
104121	CHEMBL1764944	Scm-like with four mbt domains 1, isoform CRA_b	Homo sapiens
101231	CHEMBL5552	Serine/threonine-protein kinase 25	Homo sapiens
101510	CHEMBL5705	Egl nine homolog 3	Homo sapiens
101602	CHEMBL5907	Serine/threonine-protein kinase LATS2	Homo sapiens
101495	CHEMBL5667	Phosphatidylinositol-5-phosphate 4-kinase type-2 beta	Homo sapiens
101180	CHEMBL5405	Serine/threonine-protein kinase 32C	Homo sapiens
101460	CHEMBL6162	Serine/threonine-protein kinase PFTAIRE-1	Homo sapiens
101411	CHEMBL6006	Serine/threonine-protein kinase ULK1	Homo sapiens
101226	CHEMBL5547	Ankyrin repeat and protein kinase domain-containing protein 1	Homo sapiens
101465	CHEMBL6167	Serine/threonine-protein kinase LATS1	Homo sapiens
101398	CHEMBL5969	Phosphatidylinositol-4-phosphate 5-kinase type-1 alpha	Homo sapiens
101506	CHEMBL5701	Serine/threonine-protein kinase TAO3	Homo sapiens
101191	CHEMBL5435	Serine/threonine-protein kinase ULK2	Homo sapiens
17096	CHEMBL2935	Purine nucleoside phosphorylase	Bos taurus
101473	CHEMBL5616	Activin receptor type-2A	Homo sapiens
